Codi_Districte,Nom_Districte,Nom_Barri,AEB,Seccio_Censal,Valor,Codi_Barri,_id,Any
1,Ciutat Vella,el Raval,1,1001,9,1,1,2024
1,Ciutat Vella,el Raval,1,1002,18,1,2,2024
1,Ciutat Vella,el Raval,2,1003,22,1,3,2024
1,Ciutat Vella,el Raval,2,1004,9,1,4,2024
1,Ciutat Vella,el Raval,3,1005,17,1,5,2024
1,Ciutat Vella,el Raval,3,1006,8,1,6,2024
1,Ciutat Vella,el Raval,3,1007,..,1,7,2024
1,Ciutat Vella,el Raval,4,1008,24,1,8,2024
1,Ciutat Vella,el Raval,4,1009,8,1,9,2024
1,Ciutat Vella,el Raval,4,1010,8,1,10,2024
1,Ciutat Vella,el Raval,5,1011,9,1,11,2024
1,Ciutat Vella,el Raval,5,1012,6,1,12,2024
1,Ciutat Vella,el Raval,5,1013,14,1,13,2024
1,Ciutat Vella,el Raval,6,1014,12,1,14,2024
1,Ciutat Vella,el Raval,6,1015,9,1,15,2024
1,Ciutat Vella,el Raval,6,1016,10,1,16,2024
1,Ciutat Vella,el Raval,6,1017,..,1,17,2024
1,Ciutat Vella,el Raval,7,1018,14,1,18,2024
1,Ciutat Vella,el Raval,7,1019,9,1,19,2024
1,Ciutat Vella,el Raval,7,1020,14,1,20,2024
1,Ciutat Vella,el Raval,8,1021,11,1,21,2024
1,Ciutat Vella,el Barri Gòtic,9,1022,5,2,22,2024
1,Ciutat Vella,el Barri Gòtic,9,1023,13,2,23,2024
1,Ciutat Vella,el Barri Gòtic,10,1025,5,2,24,2024
1,Ciutat Vella,el Barri Gòtic,10,1026,31,2,25,2024
1,Ciutat Vella,el Barri Gòtic,10,1027,13,2,26,2024
1,Ciutat Vella,el Barri Gòtic,11,1028,8,2,27,2024
1,Ciutat Vella,el Barri Gòtic,11,1029,..,2,28,2024
1,Ciutat Vella,el Barri Gòtic,12,1030,27,2,29,2024
1,Ciutat Vella,el Barri Gòtic,12,1031,5,2,30,2024
1,Ciutat Vella,la Barceloneta,13,1032,12,3,31,2024
1,Ciutat Vella,la Barceloneta,13,1033,15,3,32,2024
1,Ciutat Vella,la Barceloneta,13,1034,5,3,33,2024
1,Ciutat Vella,la Barceloneta,14,1035,8,3,34,2024
1,Ciutat Vella,la Barceloneta,14,1036,10,3,35,2024
1,Ciutat Vella,la Barceloneta,15,1037,9,3,36,2024
1,Ciutat Vella,la Barceloneta,15,1038,8,3,37,2024
1,Ciutat Vella,la Barceloneta,15,1039,6,3,38,2024
1,Ciutat Vella,la Barceloneta,15,1040,5,3,39,2024
1,Ciutat Vella,la Barceloneta,15,1041,..,3,40,2024
1,Ciutat Vella,la Barceloneta,15,1042,32,3,41,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16,1043,7,4,42,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16,1044,5,4,43,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16,1045,19,4,44,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16,1046,6,4,45,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",17,1047,14,4,46,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",17,1048,13,4,47,2024
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",17,1049,6,4,48,2024
