Codi_Districte,Nom_Districte,Nom_Barri,AEB,Seccio_Censal,Valor,Codi_Barri,_id,Any
1,Ciutat Vella,el Raval,1,1001,7,1,1,2024
1,Ciutat Vella,el Raval,1,1002,10,1,2,2024
1,Ciutat Vella,el Raval,2,1003,41,1,3,2024
1,Ciutat Vella,el Raval,2,1004,22,1,4,2024
1,Ciutat Vella,el Raval,3,1005,19,1,5,2024
1,Ciutat Vella,el Raval,3,1006,6,1,6,2024
1,Ciutat Vella,el Raval,3,1007,20,1,7,2024
1,Ciutat Vella,el Raval,4,1008,46,1,8,2024
1,Ciutat Vella,el Raval,4,1009,19,1,9,2024
1,Ciutat Vella,el Raval,4,1010,26,1,10,2024
1,Ciutat Vella,el Raval,5,1011,28,1,11,2024
1,Ciutat Vella,el Raval,5,1012,26,1,12,2024
1,Ciutat Vella,el Raval,5,1013,17,1,13,2024
1,Ciutat Vella,el Raval,6,1014,16,1,14,2024
1,Ciutat Vella,el Raval,6,1015,12,1,15,2024
1,Ciutat Vella,el Raval,6,1016,16,1,16,2024
1,Ciutat Vella,el Raval,6,1017,25,1,17,2024
1,Ciutat Vella,el Raval,7,1018,11,1,18,2024
1,Ciutat Vella,el Raval,7,1019,30,1,19,2024
1,Ciutat Vella,el Raval,7,1020,11,1,20,2024
1,Ciutat Vella,el Raval,8,1021,7,1,21,2024
1,Ciutat Vella,el Barri Gòtic,9,1022,6,2,22,2024
1,Ciutat Vella,el Barri Gòtic,9,1023,7,2,23,2024
1,Ciutat Vella,el Barri Gòtic,10,1025,7,2,24,2024
1,Ciutat Vella,el Barri Gòtic,10,1026,45,2,25,2024
1,Ciutat Vella,el Barri Gòtic,10,1027,8,2,26,2024
1,Ciutat Vella,el Barri Gòtic,11,1028,16,2,27,2024
1,Ciutat Vella,el Barri Gòtic,11,1029,7,2,28,2024
1,Ciutat Vella,el Barri Gòtic,12,1030,8,2,29,2024
1,Ciutat Vella,el Barri Gòtic,12,1031,9,2,30,2024
1,Ciutat Vella,la Barceloneta,13,1032,6,3,31,2024
1,Ciutat Vella,la Barceloneta,13,1033,7,3,32,2024
1,Ciutat Vella,la Barceloneta,13,1034,..,3,33,2024
1,Ciutat Vella,la Barceloneta,14,1035,5,3,34,2024
1,Ciutat Vella,la Barceloneta,14,1036,..,3,35,2024
1,Ciutat Vella,la Barceloneta,15,1037,14,3,36,2024
